ticker,exchange,industry,first_trading_year
BEEM,NASDAQ,Oil & Energy,
BEEP,NASDAQ,Industrial,
BELFA,NASDAQ,Technology,
BELFB,NASDAQ,Technology,
BENF,NASDAQ,Financial,2023
BENFW,NASDAQ,Unknown,2023
BETR,NASDAQ,Financial,
BETRW,NASDAQ,Unknown,
BFC,NASDAQ,Financial,
BFRG,NASDAQ,Healthcare,2023
BFRGW,NASDAQ,Unknown,2023
BFRI,NASDAQ,Healthcare,2021
BFRIW,NASDAQ,Unknown,2021
BFST,NASDAQ,Financial,
BGC,NASDAQ,Financial,
BGDE,NASDAQ,Financial,
BGIN,NASDAQ,Technology,2025
BGL,NASDAQ,Materials,2025
BGLC,NASDAQ,Materials,2023
BGLWW,NASDAQ,Unknown,2025
BGM,NASDAQ,Healthcare,
BGMS,NASDAQ,Healthcare,
BHAV,NASDAQ,Financial,2026
BHAVR,NASDAQ,Unknown,2026
BHAVU,NASDAQ,Financial,2026
BHF,NASDAQ,Financial,
BHFAL,NASDAQ,Unknown,
BHFAM,NASDAQ,Financial,
BHFAN,NASDAQ,Financial,
BHFAO,NASDAQ,Financial,
BHFAP,NASDAQ,Financial,
BHRB,NASDAQ,,
BHST,NASDAQ,,
BIAF,NASDAQ,,
BIAFW,NASDAQ,,
BIDU,NASDAQ,,
BIIB,NASDAQ,,
BILI,NASDAQ,,
BIOA,NASDAQ,,
BIOX,NASDAQ,,
BIRD,NASDAQ,,
BIVI,NASDAQ,,
BIVIW,NASDAQ,,
BIXI,NASDAQ,,
BIXIU,NASDAQ,,
BIXIW,NASDAQ,,
BIYA,NASDAQ,,
BJDX,NASDAQ,,
BJRI,NASDAQ,,
BKHA,NASDAQ,,
BKHAR,NASDAQ,,
BKHAU,NASDAQ,,
BKNG,NASDAQ,,
BKR,NASDAQ,,
BKYI,NASDAQ,,
BL,NASDAQ,,
BLBD,NASDAQ,,
BLDP,NASDAQ,,
BLFS,NASDAQ,,
BLIN,NASDAQ,,
BLIV,NASDAQ,,
BLKB,NASDAQ,,
BLLN,NASDAQ,,
BLMN,NASDAQ,,
BLNE,NASDAQ,,
BLNK,NASDAQ,,
BLRK,NASDAQ,,
BLRKU,NASDAQ,,
BLRKW,NASDAQ,,
BLRX,NASDAQ,,
BLTE,NASDAQ,,
BLUW,NASDAQ,,
BLUWU,NASDAQ,,
BLUWW,NASDAQ,,
BLZE,NASDAQ,,
BLZR,NASDAQ,,
BLZRU,NASDAQ,,
BLZRW,NASDAQ,,
BMBL,NASDAQ,,
BMEA,NASDAQ,,
BMGL,NASDAQ,,
BMHL,NASDAQ,,
BMM,NASDAQ,,
BMR,NASDAQ,,
BMRA,NASDAQ,,
BMRC,NASDAQ,,
BMRN,NASDAQ,,
BNAI,NASDAQ,,
BNAIW,NASDAQ,,
BNBX,NASDAQ,,
BNC,NASDAQ,,
BNCWW,NASDAQ,,
BNCWZ,NASDAQ,,
BNGO,NASDAQ,,
BNKK,NASDAQ,,
BNR,NASDAQ,,
BNRG,NASDAQ,,
BNTC,NASDAQ,,
BNTX,NASDAQ,,
BNZI,NASDAQ,,
BNZIW,NASDAQ,,
BODI,NASDAQ,,
BOF,NASDAQ,,
BOKF,NASDAQ,,
BOLD,NASDAQ,,
BOLT,NASDAQ,,
BON,NASDAQ,,
BOOM,NASDAQ,,
BOSC,NASDAQ,,
BOTJ,NASDAQ,,
BOXL,NASDAQ,,
BPAC,NASDAQ,,
BPACR,NASDAQ,,
BPACU,NASDAQ,,
BPOP,NASDAQ,,
BPOPM,NASDAQ,,
BPRN,NASDAQ,,
BPYPM,NASDAQ,,
BPYPN,NASDAQ,,
BPYPO,NASDAQ,,
BPYPP,NASDAQ,,
BRAG,NASDAQ,,
BRAI,NASDAQ,,
BRBI,NASDAQ,,
BRCB,NASDAQ,,
BRFH,NASDAQ,,
BRID,NASDAQ,,
BRKR,NASDAQ,,
BRKRP,NASDAQ,,
BRLS,NASDAQ,,
BRLSW,NASDAQ,,
BRLT,NASDAQ,,
BRNS,NASDAQ,,
BRR,NASDAQ,,
BRRWW,NASDAQ,,
BRTX,NASDAQ,,
BRZE,NASDAQ,,
BSAA,NASDAQ,,
BSAAR,NASDAQ,,
BSAAU,NASDAQ,,
BSBK,NASDAQ,,
BSET,NASDAQ,,
BSRR,NASDAQ,,
BSVN,NASDAQ,,
BSY,NASDAQ,,
BTAI,NASDAQ,,
BTBD,NASDAQ,,
BTBDW,NASDAQ,,
BTBT,NASDAQ,,
BTCS,NASDAQ,,
BTCT,NASDAQ,,
BTDR,NASDAQ,,
BTM,NASDAQ,,
BTMD,NASDAQ,,
BTMWW,NASDAQ,,
BTOC,NASDAQ,,
BTOG,NASDAQ,,
BTQ,NASDAQ,,
BTSG,NASDAQ,,
BTSGU,NASDAQ,,
BTTC,NASDAQ,,
BULL,NASDAQ,,
BULLW,NASDAQ,,
BUSE,NASDAQ,,
BUSEP,NASDAQ,,
BUUU,NASDAQ,,
BVC,NASDAQ,,
BVFL,NASDAQ,,
BVS,NASDAQ,,
BWAY,NASDAQ,,
BWB,NASDAQ,,
BWBBP,NASDAQ,,
BWEN,NASDAQ,,
BWFG,NASDAQ,,
BWIN,NASDAQ,,
BWMN,NASDAQ,,
BYAH,NASDAQ,,
BYFC,NASDAQ,,
BYND,NASDAQ,,
BYRN,NASDAQ,,
BYSI,NASDAQ,,
BZ,NASDAQ,,
BZAI,NASDAQ,,
BZAIW,NASDAQ,,
BZFD,NASDAQ,,
BZFDW,NASDAQ,,
BZUN,NASDAQ,,
CAAS,NASDAQ,,
CABA,NASDAQ,,
CABR,NASDAQ,,
CAC,NASDAQ,,
CACC,NASDAQ,,
CADL,NASDAQ,,
CAEP,NASDAQ,,
CAI,NASDAQ,,
CAIIU,NASDAQ,,
CAKE,NASDAQ,,
CALC,NASDAQ,,
CALM,NASDAQ,,
CAMP,NASDAQ,,
CAMT,NASDAQ,,
CAN,NASDAQ,,
CAPN,NASDAQ,,
CAPNR,NASDAQ,,
CAPNU,NASDAQ,,
CAPR,NASDAQ,,
CAPS,NASDAQ,,
CAQ,NASDAQ,,
CAQUU,NASDAQ,,
CAQUW,NASDAQ,,
CAR,NASDAQ,,
CARE,NASDAQ,,
CARG,NASDAQ,,
CARL,NASDAQ,,
CART,NASDAQ,,
CASH,NASDAQ,,
CASS,NASDAQ,,
CAST,NASDAQ,,
CASY,NASDAQ,,
CATY,NASDAQ,,
CBAT,NASDAQ,,
CBC,NASDAQ,,
CBFV,NASDAQ,,
CBIO,NASDAQ,,
CBK,NASDAQ,,
CBLL,NASDAQ,,
CBNK,NASDAQ,,
CBRL,NASDAQ,,
CBSH,NASDAQ,,
CBUS,NASDAQ,,
CCAP,NASDAQ,,
CCB,NASDAQ,,
CCBG,NASDAQ,,
CCC,NASDAQ,,
CCCC,NASDAQ,,
CCD,NASDAQ,,
CCEC,NASDAQ,,
CCEP,NASDAQ,,
CCG,NASDAQ,,
CCGWW,NASDAQ,,
CCHH,NASDAQ,,
CCII,NASDAQ,,
CCIIU,NASDAQ,,
CCIIW,NASDAQ,,
CCIX,NASDAQ,,
CCIXU,NASDAQ,,
CCIXW,NASDAQ,,
CCLD,NASDAQ,,
CCLDO,NASDAQ,,
CCNE,NASDAQ,,
CCNEP,NASDAQ,,
CCOI,NASDAQ,,
CCRN,NASDAQ,,
CCSI,NASDAQ,,
CCTG,NASDAQ,,
CCXI,NASDAQ,,
CCXIU,NASDAQ,,
CCXIW,NASDAQ,,
CD,NASDAQ,,
CDIO,NASDAQ,,
CDIOW,NASDAQ,,
CDLX,NASDAQ,,
CDNA,NASDAQ,,
CDNL,NASDAQ,,
CDNS,NASDAQ,,
CDRO,NASDAQ,,
CDROW,NASDAQ,,
CDT,NASDAQ,,
CDTG,NASDAQ,,
CDTTW,NASDAQ,,
CDW,NASDAQ,,
CDXS,NASDAQ,,
CDZI,NASDAQ,,
CDZIP,NASDAQ,,
CECO,NASDAQ,,
CEG,NASDAQ,,
CELC,NASDAQ,,
CELH,NASDAQ,,
CELU,NASDAQ,,
CELUW,NASDAQ,,
CELZ,NASDAQ,,
CENN,NASDAQ,,
CENT,NASDAQ,,
CENTA,NASDAQ,,
CENX,NASDAQ,,
CEPF,NASDAQ,,
CEPO,NASDAQ,,
CEPS,NASDAQ,,
CEPT,NASDAQ,,
CEPV,NASDAQ,,
CERS,NASDAQ,,
CERT,NASDAQ,,
CETX,NASDAQ,,
CETY,NASDAQ,,
CEVA,NASDAQ,,
CFBK,NASDAQ,,
CFFI,NASDAQ,,
CFFN,NASDAQ,,
CG,NASDAQ,,
CGABL,NASDAQ,,
CGBD,NASDAQ,,
CGC,NASDAQ,,
CGCT,NASDAQ,,
CGCTU,NASDAQ,,
CGCTW,NASDAQ,,
CGEM,NASDAQ,,
CGEN,NASDAQ,,
CGNT,NASDAQ,,
CGNX,NASDAQ,,
CGO,NASDAQ,,
CGON,NASDAQ,,
CGTL,NASDAQ,,
CGTX,NASDAQ,,
CHA,NASDAQ,,
CHAI,NASDAQ,,
CHAR,NASDAQ,,
CHARR,NASDAQ,,
CHARU,NASDAQ,,
CHCI,NASDAQ,,
CHCO,NASDAQ,,
